Forecast_Horizon_H,Static_TCI_Pct,Max_Net_Transmitter,Max_Net_Receiver,Stability_Status
5,45.87,IT,Bank,STABLE
10,45.88,IT,Bank,STABLE
15,45.88,IT,Bank,STABLE
20,45.88,IT,Bank,STABLE
