Sector,Model,AIC,Forecast_1d_Vol_Pct,Forecast_5d_Vol_Pct,Forecast_20d_Vol_Pct
Bank,"EGARCH(1,1,1)",337.33,0.0,0.0,22.3
Bank,ARCH(1),350.61,21.52,21.52,21.52
Bank,"GARCH(1,1)",352.61,21.52,21.52,21.52
Bank,"GJR-GARCH(1,1,1)",354.61,21.52,21.52,21.52
IT,"EGARCH(1,1,1)",309.4,16.48,18.77,18.83
IT,ARCH(1),315.76,18.08,18.08,18.08
IT,"GARCH(1,1)",317.73,18.04,18.04,18.04
IT,"GJR-GARCH(1,1,1)",319.73,18.04,18.04,18.04
