Sector,Test,Embedding_Dimension,Statistic,p_value,Nonlinear_Dependence,Interpretation
Bank,BDS,2,-0.2973,0.7662,False,No significant non-linear dependence (i.i.d.)
Bank,BDS,3,-1.0666,0.2862,False,No significant non-linear dependence (i.i.d.)
IT,BDS,2,-0.7146,0.4749,False,No significant non-linear dependence (i.i.d.)
IT,BDS,3,-1.4979,0.1341,False,No significant non-linear dependence (i.i.d.)
