Quantile,Lag,Target_Sector,Source_Sector,Coefficient
0.05,1,Bank,Bank,-0.38003886368635914
0.05,1,Bank,IT,-0.35217819300528747
0.05,1,IT,Bank,-0.20868746811104696
0.05,1,IT,IT,-0.1458255422690249
0.5,1,Bank,Bank,-0.05941121553788826
0.5,1,Bank,IT,-0.105187827345331
0.5,1,IT,Bank,-0.06073026033259167
0.5,1,IT,IT,-0.10379339537693044
0.95,1,Bank,Bank,-0.07973690612777994
0.95,1,Bank,IT,-0.22193282665259373
0.95,1,IT,Bank,0.26971711530785814
0.95,1,IT,IT,0.26019234759169513
