Sector,Model,Log_Likelihood,AIC,BIC,Omega,Alpha,Gamma_Asymmetry,Beta,Persistence,Half_Life_Days,Long_Run_Vol_Pct,Resid_ARCH_LM_pVal,Resid_JB_pVal
Bank,"EGARCH(1,1,1)",-163.66,337.33,350.35,0.175287,-1.0259,0.0034,0.6789,0.6789,1.79,11.73,0.6867,0.7925
Bank,ARCH(1),-172.31,350.61,358.43,1.837172,0.0,,,0.0,0.02,21.52,0.4354,0.7362
Bank,"GARCH(1,1)",-172.31,352.61,363.03,1.837188,0.0,,0.0,0.0,0.02,21.52,0.4354,0.7362
Bank,"GJR-GARCH(1,1,1)",-172.31,354.61,367.64,1.837207,0.0,-0.0,0.0,0.0,0.06,21.52,0.4354,0.7362
IT,"EGARCH(1,1,1)",-149.7,309.4,322.43,0.112818,-0.7208,0.4197,0.4113,0.4113,0.78,6.95,0.9923,0.3076
IT,ARCH(1),-154.88,315.76,323.57,1.296515,0.0,,,0.0,,,0.4798,0.2974
IT,"GARCH(1,1)",-154.86,317.73,328.15,0.781761,0.0,,0.3946,0.3946,0.75,18.04,0.4799,0.2946
IT,"GJR-GARCH(1,1,1)",-154.86,319.73,332.75,0.781628,0.0,0.0,0.3947,0.3947,0.75,18.04,0.4798,0.2946
