Date,Nifty Auto,Nifty FMCG,Nifty IT,Nifty Metal,Nifty Pharma,Nifty Bank,Nifty 50
2021-08-05,10224.900390625,36701.44921875,31211.19921875,5834.39990234375,14579.849609375,35834.33203125,16294.599609375
2021-08-06,10249.5,36669.80078125,31303.30078125,5841.35009765625,14517.5,35808.83203125,16238.2001953125
2021-08-09,10239.0,36691.8984375,31441.0,5732.0,14533.4501953125,36028.53125,16258.25
2021-08-10,10158.75,36537.25,31713.400390625,5573.2998046875,14502.900390625,36033.68359375,16280.099609375
2021-08-11,10140.400390625,36425.8515625,31670.0,5748.2998046875,14291.150390625,35805.98046875,16282.25
2021-08-12,10180.5498046875,36521.8515625,32245.099609375,5769.25,14133.0498046875,35936.6328125,16364.400390625
2021-08-13,10178.2998046875,36842.05078125,32678.80078125,5799.2998046875,14049.0498046875,36168.9296875,16529.099609375
2021-08-16,10088.7998046875,36954.25,32577.94921875,5884.89990234375,13965.400390625,36094.08203125,16563.05078125
2021-08-17,10088.2998046875,37478.55078125,33414.75,5749.39990234375,14041.25,35867.03125,16614.599609375
2021-08-18,10067.9501953125,37738.30078125,33448.8984375,5702.60009765625,14071.349609375,35554.0859375,16568.849609375
2021-08-20,9904.7001953125,38596.05078125,33351.3515625,5335.9501953125,13711.150390625,35033.4453125,16450.5
2021-08-23,9759.150390625,38489.5,33919.80078125,5291.25,13700.599609375,35123.98828125,16496.44921875
2021-08-24,9832.7998046875,38232.80078125,33838.3984375,5444.7998046875,13876.0498046875,35711.6875,16624.599609375
2021-08-25,9808.650390625,38448.1015625,34083.94921875,5474.0498046875,13830.5,35585.8359375,16634.650390625
2021-08-26,9763.099609375,38670.69921875,34041.1015625,5404.7001953125,13758.599609375,35617.13671875,16636.900390625
2021-08-27,9793.849609375,38819.5,34309.80078125,5492.7001953125,13948.7001953125,35627.38671875,16705.19921875
2021-08-30,9957.900390625,39150.19921875,34109.25,5628.10009765625,14222.5,36347.2265625,16931.05078125
2021-08-31,10034.4501953125,39529.69921875,34570.25,5714.60009765625,14344.75,36424.1796875,17132.19921875
2021-09-01,10043.900390625,39644.69921875,34110.5,5612.4501953125,14319.849609375,36573.875,17076.25
2021-09-02,10022.4501953125,40296.3984375,34680.30078125,5653.2998046875,14458.5,36830.87109375,17234.150390625
2021-09-03,10124.75,40226.25,34891.19921875,5719.35009765625,14485.650390625,36760.72265625,17323.599609375
2021-09-06,10167.25,40169.05078125,35415.1015625,5742.7001953125,14481.5498046875,36591.92578125,17377.80078125
2021-09-07,10152.7001953125,40289.8515625,34951.30078125,5708.35009765625,14387.349609375,36468.375,17362.099609375
2021-09-08,10100.400390625,40263.44921875,34678.19921875,5720.75,14349.4501953125,36767.7734375,17353.5
2021-09-09,10112.599609375,40577.94921875,34802.30078125,5765.14990234375,14329.849609375,36682.7734375,17369.25
2021-09-13,10120.150390625,40592.3515625,35129.6015625,5839.2998046875,14377.0498046875,36471.375,17355.30078125
2021-09-14,10209.599609375,40469.55078125,35431.5,5810.35009765625,14410.9501953125,36612.625,17380.0
2021-09-15,10297.0,40504.5,36075.19921875,5859.0498046875,14487.900390625,36851.8203125,17519.44921875
2021-09-16,10351.4501953125,41007.6015625,35852.44921875,5822.5,14491.349609375,37668.1640625,17629.5
2021-09-17,10351.4501953125,40798.8984375,35646.5,5683.85009765625,14355.150390625,37811.5078125,17585.150390625
2021-09-20,10202.650390625,41169.69921875,35400.05078125,5309.0,14097.25,37145.265625,17396.900390625
2021-09-21,10155.9501953125,41619.94921875,36086.05078125,5444.4501953125,14278.9501953125,37235.41796875,17562.0
2021-09-22,10284.599609375,41507.25,36422.44921875,5524.64990234375,14334.25,36944.21875,17546.650390625
2021-09-23,10372.9501953125,41548.80078125,36816.8984375,5616.0498046875,14380.5,37771.26171875,17822.94921875
2021-09-24,10429.0498046875,41090.8984375,37103.25,5498.2001953125,14289.150390625,37829.859375,17853.19921875
2021-09-27,10765.150390625,40720.6015625,36034.3984375,5504.4501953125,14156.7001953125,38170.8046875,17855.099609375
2021-09-28,10695.9501953125,40682.94921875,35239.94921875,5534.60009765625,14171.599609375,37944.55859375,17748.599609375
2021-09-29,10655.5,40472.1484375,35282.6484375,5661.25,14404.9501953125,37742.5625,17711.30078125
2021-09-30,10598.4501953125,40426.55078125,35028.0,5611.25,14466.5,37424.66796875,17618.150390625
2021-10-01,10596.9501953125,40399.0,34780.6015625,5638.7998046875,14587.650390625,37225.46484375,17532.05078125
2021-10-04,10641.150390625,40445.44921875,35126.1484375,5807.35009765625,14812.400390625,37579.2109375,17691.25
2021-10-05,10692.0,40427.5,35544.30078125,5800.2998046875,14738.25,37740.5625,17822.30078125
2021-10-06,10567.5498046875,40167.44921875,35075.80078125,5627.35009765625,14461.9501953125,37521.11328125,17646.0
2021-10-07,11031.7998046875,40226.3984375,35703.8515625,5659.9501953125,14562.2001953125,37752.76171875,17790.349609375
2021-10-08,11079.349609375,39993.3515625,36402.0,5681.4501953125,14514.7998046875,37774.8125,17895.19921875
2021-10-11,11375.5498046875,40318.05078125,35179.94921875,5766.39990234375,14615.349609375,38293.35546875,17945.94921875
2021-10-12,11476.099609375,40808.75,34869.75,5829.35009765625,14629.2001953125,38521.05078125,17991.94921875
2021-10-13,11870.0,41149.3984375,35285.6015625,5914.64990234375,14679.400390625,38635.30078125,18161.75
2021-10-14,11800.2998046875,41377.19921875,35744.8515625,6019.2001953125,14728.650390625,39340.44140625,18338.55078125
2021-10-18,11814.7998046875,41564.1484375,36306.3515625,6253.10009765625,14598.2001953125,39684.33984375,18477.05078125
2021-10-19,11626.849609375,40237.30078125,37106.3515625,6099.35009765625,14384.349609375,39540.0390625,18418.75
2021-10-20,11493.2998046875,39696.3515625,36846.80078125,5974.0,14177.349609375,39517.73828125,18266.599609375
2021-10-21,11557.400390625,39354.44921875,35913.6015625,5868.39990234375,14169.9501953125,40029.734375,18178.099609375
2021-10-22,11433.9501953125,38874.80078125,35394.6484375,5690.10009765625,13949.650390625,40323.1796875,18114.900390625
2021-10-25,11228.2001953125,38491.0,35005.3984375,5679.64990234375,13943.849609375,41191.91796875,18125.400390625
2021-10-26,11452.25,38826.8515625,35162.3515625,5830.64990234375,13970.650390625,41237.8203125,18268.400390625
2021-10-27,11395.150390625,38946.1015625,35503.8984375,5741.89990234375,14094.25,40873.875,18210.94921875
2021-10-28,11260.900390625,38208.55078125,34913.6015625,5544.5498046875,13780.599609375,39508.48828125,17857.25
